seconds_elapsed,speed_ms,speed_percent,direction_percent,direction_enum,direction_angle_deg
0.0,0.0006780047329834361,0.0,11.9,RIGHT,5.4
0.010029,0.0008649757823488162,0.0,14.1,RIGHT,6.3
0.020057,0.0010812840997996831,0.0,15.5,RIGHT,7.0
0.030086,0.0013294439570938061,0.0,16.2,RIGHT,7.3
0.040115,0.0016120192899771134,0.0,15.8,RIGHT,7.1
0.050144,0.0019316092697499404,0.0,14.4,RIGHT,6.5
0.060172,0.002290831686699314,0.0,12.2,RIGHT,5.5
0.070201,0.002692303770652095,0.1,9.2,STRAIGHT,4.1
0.08023,0.0031386200169696847,0.1,5.7,STRAIGHT,2.6
0.090258,0.003632326562594638,0.1,2.2,STRAIGHT,1.0
0.100287,0.0041758916805538695,0.1,-1.2,STRAIGHT,-0.5
0.110316,0.004771672036128959,0.1,-4.1,STRAIGHT,-1.8
0.120345,0.005421874469276498,0.1,-6.3,STRAIGHT,-2.9
0.130373,0.0061285132280058776,0.1,-7.8,STRAIGHT,-3.5
0.140402,0.006893362767337462,0.1,-8.5,STRAIGHT,-3.8
0.150431,0.007717906438630434,0.2,-8.5,STRAIGHT,-3.8
0.16046,0.008603281614646094,0.2,-7.9,STRAIGHT,-3.5
0.170488,0.00955022201687204,0.2,-6.8,STRAIGHT,-3.0
0.180517,0.010558998223882605,0.2,-5.4,STRAIGHT,-2.4
0.190546,0.011629357533995452,0.2,-3.9,STRAIGHT,-1.8
0.200574,0.012760464524250729,0.3,-2.5,STRAIGHT,-1.1
0.210603,0.013950843783953849,0.3,-1.3,STRAIGHT,-0.6
0.220632,0.015198326399132637,0.3,-0.3,STRAIGHT,-0.1
0.230661,0.016500001820096734,0.3,0.3,STRAIGHT,0.2
0.240689,0.017852176755124263,0.4,0.7,STRAIGHT,0.3
0.250718,0.019250342697857855,0.4,0.7,STRAIGHT,0.3
0.260747,0.02068915361440443,0.4,0.4,STRAIGHT,0.2
0.270776,0.022162415189883225,0.4,-0.1,STRAIGHT,-0.0
0.280804,0.023663086865986376,0.5,-0.7,STRAIGHT,-0.3
0.290833,0.025183297694860888,0.5,-1.3,STRAIGHT,-0.6
0.300862,0.026714376795118323,0.5,-1.9,STRAIGHT,-0.9
0.31089,0.02824689892865699,0.6,-2.4,STRAIGHT,-1.1
0.320919,0.02977074542848237,0.6,-2.8,STRAIGHT,-1.3
0.330948,0.031275180404487214,0.6,-3.0,STRAIGHT,-1.3
0.340977,0.03274894184305957,0.7,-3.0,STRAIGHT,-1.3
0.351005,0.0341803469042745,0.7,-2.9,STRAIGHT,-1.3
0.361034,0.0355574104139361,0.7,-2.6,STRAIGHT,-1.2
0.371063,0.036867975253114166,0.7,-2.2,STRAIGHT,-1.0
0.381092,0.03809985307074649,0.8,-1.7,STRAIGHT,-0.8
0.39112,0.03924097349033471,0.8,-1.2,STRAIGHT,-0.6
0.401149,0.040279539753938866,0.8,-0.8,STRAIGHT,-0.3
0.411178,0.04120418854891376,0.8,-0.3,STRAIGHT,-0.1
0.421207,0.04200415159762332,0.8,0.0,STRAIGHT,0.0
0.431235,0.04266941645941545,0.9,0.3,STRAIGHT,0.1
0.441264,0.0431908838984528,0.9,0.5,STRAIGHT,0.2
0.451293,0.043560519111063206,0.9,0.6,STRAIGHT,0.3
0.461321,0.043771494082265966,0.9,0.6,STRAIGHT,0.3
0.475111,0.04381831835322483,0.9,0.6,STRAIGHT,0.3
0.48514,0.04369695553044727,0.9,0.5,STRAIGHT,0.2
0.495169,0.043404922956015383,0.9,0.3,STRAIGHT,0.2
0.505197,0.042941372089820525,0.9,0.2,STRAIGHT,0.1
0.515226,0.04230714733330293,0.8,0.0,STRAIGHT,0.0
0.525255,0.041504821252035876,0.8,-0.1,STRAIGHT,-0.1
0.535283,0.0405387044342865,0.8,-0.3,STRAIGHT,-0.1
0.545312,0.039414828559197576,0.8,-0.4,STRAIGHT,-0.2
0.555341,0.03814090164878865,0.8,-0.4,STRAIGHT,-0.2
0.56537,0.036726234951806734,0.7,-0.5,STRAIGHT,-0.2
0.575398,0.03518164146517005,0.7,-0.5,STRAIGHT,-0.2
0.585427,0.03351930675203451,0.7,-0.5,STRAIGHT,-0.2
0.595456,0.03175263347689583,0.6,-0.4,STRAIGHT,-0.2
0.605485,0.029896061960668338,0.6,-0.3,STRAIGHT,-0.1
0.615513,0.02796487007558619,0.6,-0.2,STRAIGHT,-0.1
0.625542,0.02597495695045885,0.5,-0.1,STRAIGHT,-0.1
0.635571,0.023942616157976607,0.5,-0.0,STRAIGHT,-0.0
0.6456,0.021884305043802094,0.4,0.1,STRAIGHT,0.0
0.655628,0.01981641725234722,0.4,0.1,STRAIGHT,0.1
0.665657,0.0177550651079569,0.4,0.2,STRAIGHT,0.1
0.675686,0.015715877500012014,0.3,0.2,STRAIGHT,0.1
0.685715,0.013713817666009069,0.3,0.2,STRAIGHT,0.1
0.695743,0.01176302403433981,0.2,0.2,STRAIGHT,0.1
0.705771,0.009876676171339428,0.2,0.1,STRAIGHT,0.1
0.7158,0.008066886887229268,0.2,0.0,STRAIGHT,0.0
0.725829,0.0063446206905666,0.1,-0.1,STRAIGHT,-0.0
0.735857,0.0047196380375683356,0.1,-0.2,STRAIGHT,-0.1
0.745886,0.0032004641972138478,0.1,-0.4,STRAIGHT,-0.2
0.755916,0.0017943810406147764,0.0,-0.5,STRAIGHT,-0.2
0.765945,0.000507439658341716,0.0,-0.6,STRAIGHT,-0.3
0.775973,0.0006555085938174466,0.0,-0.7,STRAIGHT,-0.3
0.786002,0.0016907652283967612,0.0,-0.7,STRAIGHT,-0.3
0.796031,0.002595724667041055,0.1,-0.7,STRAIGHT,-0.3
0.80606,0.003368803956150284,0.1,-0.6,STRAIGHT,-0.3
0.816087,0.004009364891790113,0.1,-0.4,STRAIGHT,-0.2
0.826116,0.004517631190191257,0.1,-0.1,STRAIGHT,-0.0
0.836145,0.004894603185303119,0.1,0.3,STRAIGHT,0.1
0.846175,0.005141972331469841,0.1,0.7,STRAIGHT,0.3
0.856202,0.0052620375456328295,0.1,1.1,STRAIGHT,0.5
0.866231,0.005257625147798048,0.1,1.5,STRAIGHT,0.7
0.87626,0.005132013859046285,0.1,1.8,STRAIGHT,0.8
0.886289,0.004888866001216607,0.1,1.9,STRAIGHT,0.9
0.896317,0.004532165719524115,0.1,1.8,STRAIGHT,0.8
0.906346,0.0040661647265768765,0.1,1.5,STRAIGHT,0.7
0.916375,0.0034953357511257536,0.1,0.9,STRAIGHT,0.4
0.926405,0.002824333574780665,0.1,-0.1,STRAIGHT,-0.0
0.936432,0.002057963261976554,0.0,-1.4,STRAIGHT,-0.6
0.946461,0.001201154939526728,0.0,-3.1,STRAIGHT,-1.4
0.95649,0.0002589442687363016,0.0,-5.0,STRAIGHT,-2.3
0.96652,0.0007635424184501886,0.0,-7.2,STRAIGHT,-3.2
0.976548,0.0018610994714401432,0.0,-9.5,STRAIGHT,-4.3
0.986576,0.0030284509834154877,0.1,-11.7,LEFT,-5.3
0.996605,0.004260258797708629,0.1,-13.8,LEFT,-6.2
1.006635,0.005551130638954841,0.1,-15.6,LEFT,-7.0
1.016663,0.006895629428502931,0.1,-17.0,LEFT,-7.6
1.026692,0.008288284649781832,0.2,-17.9,LEFT,-8.0
1.03672,0.009723606363721387,0.2,-18.2,LEFT,-8.2
1.04675,0.011196102149693138,0.2,-17.9,LEFT,-8.1
1.056778,0.012700296893811639,0.3,-17.1,LEFT,-7.7
1.066806,0.014230755003536618,0.3,-15.8,LEFT,-7.1
1.076835,0.015782104328545946,0.3,-14.1,LEFT,-6.4
1.086865,0.017349060830676544,0.3,-12.2,LEFT,-5.5
1.096892,0.018926452876524537,0.4,-10.0,STRAIGHT,-4.5
1.106921,0.0205092439263525,0.4,-7.8,STRAIGHT,-3.5
1.11695,0.022092552361838033,0.4,-5.7,STRAIGHT,-2.6
1.126979,0.023671667231186962,0.5,-3.8,STRAIGHT,-1.7
1.137008,0.025242058790117414,0.5,-2.1,STRAIGHT,-0.9
1.147036,0.026799382876651456,0.5,-0.7,STRAIGHT,-0.3
1.157065,0.028339478370530444,0.6,0.4,STRAIGHT,0.2
1.167094,0.029858357246971674,0.6,1.2,STRAIGHT,0.5
1.177123,0.031352187030631105,0.6,1.7,STRAIGHT,0.8
1.187152,0.032817265779033766,0.7,1.9,STRAIGHT,0.8
1.19718,0.034249990064347785,0.7,1.9,STRAIGHT,0.8
1.207209,0.035646816766376974,0.7,1.7,STRAIGHT,0.8
1.217239,0.03700421982568146,0.7,1.4,STRAIGHT,0.6
1.227267,0.03831864342126766,0.8,1.1,STRAIGHT,0.5
1.237296,0.03958645331994843,0.8,0.7,STRAIGHT,0.3
1.247325,0.040803888382434636,0.8,0.4,STRAIGHT,0.2
1.257354,0.04196701439357567,0.8,0.1,STRAIGHT,0.0
1.267382,0.04307168250130241,0.9,-0.2,STRAIGHT,-0.1
1.27741,0.04411349459275903,0.9,-0.4,STRAIGHT,-0.2
1.287439,0.04508777790079448,0.9,-0.6,STRAIGHT,-0.3
1.297469,0.045989571015566395,0.9,-0.7,STRAIGHT,-0.3
1.307496,0.04681362327302572,0.9,-0.7,STRAIGHT,-0.3
1.317525,0.04755440920555324,1.0,-0.8,STRAIGHT,-0.3
1.327554,0.04820615937364873,1.0,-0.8,STRAIGHT,-0.4
